	cf	lMax	periSum	sizeExp	lMean	specLMom	cop	scai	nClouds	iOrgPoiss	fracDim	iOrg	orie	eccA	d0	area	ecc	eqdia	scai initi	mean_area	frac	filename	labels	clusters
0	0.0	37.57658845611187	20.618423822428937	-1.7531517764920694	5.834358156587385		0.06463375288335765	2.4979470351077557	151	0.6099800180702254	1.6882433410132083	0.695123020920135	5.304915756586067	0.8694284978646302	110.01710812689642	6064	0.6258048163919891	87.86879195296831		6064.0	23.594970703125	00017_anchor.png	3	3
0	0.0	66.44546636152086	34.33013364224005	-1.4902851687563168	9.37676537050807		0.0735069308212952	1.68098776763723	118	0.5430231489486141	1.7093032411623499	0.6099540361964952	7.272611653948796	0.7432548051700919	113.57238591739537	10990	0.8042855960271793	118.29159985662312		10990.0	42.761993408203125	00018_anchor.png	2	11
0	0.0	148.54628908188855	97.04551744274842	-1.180648609329541	24.513701650861524		0.13746278542429008	0.46177558445489103	51	0.6644890802160892	1.6706905078103422	0.6720492118415994	18.287565883974164	0.8910501036562118	100.87641567611912	30798	0.6453169080784521	198.0233104933698		30798.0	119.83474731445312	00019_anchor.png	0	10
0	0.0	40.13726448077895	25.970777203369394	-1.5709836295280708	6.688159797842863		0.06327365205432531	1.470642652802208	108	0.6134338654497457	1.619995719600413	0.6808984910836763		0.8052118532119169	118.69462671680482	5327	0.595443455134872	82.35622049854044		5327.0	20.727310180664062	00020_anchor.png	1	2
0	0.0	23.53720459187964	34.917567412562946	-1.2211079456295564	8.405126640696965		0.09166499956908637	0.7265017099011781	65	0.5420007479043688	1.5471270950613696	0.5623668639053254		0.755446699877529	108.20912740928092	4838	0.7756152136546598	78.48524012468025		4838.0	18.824615478515625	00021_anchor.png	0	6
0	0.0	54.680892457969264	49.401500591244066	-1.2855030827355403	11.954194986605236		0.08888343892454796	0.9791953102790459	72	0.6102340021741017	1.6411198662044004	0.5985725308641975	13.42159979938988	0.876381572419493	121.08027142348594	10611	0.7048547787042959	116.23400883211768		10611.0	41.28730773925781	00022_anchor.png	1	7
0	0.0	38.50973902793941	20.223401665081248	-1.673491037534348	5.923118547972287		0.057572993595149106	2.009756444952136	144	0.6292829019293716	1.681242756873267	0.6988329475308642	18.135605199090723	0.8533163981832701	109.39484914981992	5775	0.8253188921820632	85.74939283076915		5775.0	22.470474243164062	00023_anchor.png	3	4
0	0.0	32.41913015489465	32.89360551268346	-1.2910413832256544	7.587228593883873		0.0847977586796515	1.2386337002427932	106	0.639540377468221	1.6533353970863665	0.730687077251691	3.8896030440957854	0.8711032934160563	100.96405246158172	6587	0.777022669207623	91.57963136620783		6587.0	25.629959106445312	00024_anchor.png	2	8
0	0.0	22.338307903688676	15.398685988228728	-2.056446116477171	4.669371510495851		0.06341614539075253	1.80108140220943	132	0.6574833350556484	1.638310291056752	0.7385789715335169		0.8735753485653838	97.5501411365266	3624	0.7200699784682797	67.92805098131574		3624.0	14.1009521484375	00025_anchor.png	3	1
0	0.0	39.370039370059054	32.45611339819194	-1.3098668620644807	8.676903813792938		0.07746049719556929	0.9768463025307079	97	0.5895882325958558	1.6235443029932655	0.6967796790307154		0.7194947720924587	114.31892729045084	7601	0.8031953364553044	98.37628667281548		7601.0	29.575424194335938	00026_anchor.png	1	7
0	0.0	93.50935782048768	36.36838059505817	-1.5110238331364318	10.326582100208201		0.07683912543673947	1.641646087320232	141	0.5646076217716872	1.743525484587447	0.6086967456365373		0.8691517116286781	100.92581423885434	15657	0.7580068934458195	141.19175454649766		15657.0	60.92124938964844	00027_anchor.png	3	3
0	0.0	72.97944916207575	76.02341615771508	-1.4099932486102746	16.14517471774978		0.12811215493816513	0.7767203795671339	72	0.5269319931610426	1.7219264966241281	0.6771797839506172	12.16739650632319	0.8905124241900799	116.7503366864947	18986	0.6561546695628591	155.47902108111498		18986.0	73.87435913085938	00028_anchor.png	1	10
0	0.0	30.854497241083024	23.445365205575687	-1.2332570743063542	6.4031242374328485		0.06586954031069224	1.1203715214893266	63	0.6995611683572472	1.5164691419921121	0.7482993197278912	3.2714781728161433	0.8424014032518982	116.91826119796897	2996	0.9207941590609262	61.762655998803574		2996.0	11.65740966796875	00029_anchor.png	3	5
0	0.0	125.31161159286079	63.039586979827654	-1.5565941315875662	17.076051923549972		0.09615518928869177	1.4408604481855787	71	0.6400396185028396	1.7147647977276315	0.6502678040071415	14.33861187197089	0.9089599132731202	114.59736690811904	21238	0.5793604912000684	164.44166580001976		21238.0	82.63687133789062	00030_anchor.png	3	9
0	0.0	90.84051959340611	46.40269798200234	-1.7802506572709365	10.476830396416632		0.08251686998112469	1.6974813747949387	161	0.44709301082941827	1.8191522235906752	0.5555341229119247		0.8636479539980841	120.39625473870248	18136	0.5462918105157446	151.9587851468842		18136.0	70.5670166015625	00031_anchor.png	1	2
0	0.0	118.0804810288305	53.1680224793284	-1.7000635949060987	12.648794408954554		0.07781263785392278	1.610854272121136	125	0.577580022119358	1.797337492646393	0.624736		0.8809015246681503	116.26535856578279	20522	0.6126120886174322	161.64597717560127		20522.0	79.85092163085938	00032_anchor.png	1	3
0	0.0	109.99545445153632	73.79846928937623	-1.0656277644183882	14.745146823233387		0.0931539641033511	1.1814612159984117	93	0.5342851289716704	1.78108357815673	0.598797548849578		0.8936676631456348	114.20094727385238	20608	0.48281874223904664	161.9843218891947		20608.0	80.185546875	00033_anchor.png	1	8
